devittes,sog,faceoff_win_rate,on_keeper_sog_faced,expected_goals_allowed,player,faceoffs_taken,usage_adjusted_EGA,EGA_per_game,shooting_pct,EGA,excess_saves,games_appeared_in,share_of_team_assists,save_pct,turnover_rate,faceoff_EGA,faceoff_wins,team_play_shares,penalties,caused_turnovers,excess_saves_per_sog,goals_allowed,excess_goals_scored,team_ID,assists,goals,offensive_EGA,excess_goals_per_shot,sog_faced,ID,turnovers,team_listed_role,shots_faced,defensive_EGA,faceoff_losses,weighted_team_play_shares,expected_goals_scored,on_keeper_rate_faced,sog_rate,seasons_played,sog_rate_faced,gbs,shots
-1.0,0.0,,,,Alex Smith,0.0,2.00799,0.106337,,0.212673,,2.0,0.0,,0.673935,0.0,0,0.00264784,0.0,0.0,,,,3,0.0,0.0,-0.167203,,,1537,1.0,M,,0.379876,0,0.00331581,,,,5.0,,2.0,0.0
0.0,0.0,,,,Colin Burlace,0.0,4.96208,0.43796,,0.87592,,2.0,0.0,,0.0,0.0,0,0.00441306,0.0,3.0,,,,3,0.0,0.0,0.0,,,20715,0.0,D,,0.87592,0,0.00521055,,,,1.0,,2.0,0.0
1.0,9.0,,,,Jack Brennan,0.0,2.43064,0.772313,0.454545,4.63388,,6.0,0.0,,0.49528,0.0,0,0.015887,0.0,1.0,,,-0.459142,3,0.0,5.0,4.08865,-0.0417402,,1528,4.0,A,,0.545224,0,0.0180475,5.45914,,0.818182,6.0,,2.0,11.0
0.0,0.0,,,,Michael Roche,2.0,0.0,0.0,,0.0,,1.0,0.0,,0.0,0.0,0,0.00176523,0.0,0.0,,,,3,0.0,0.0,0.0,,,16165,0.0,M,,0.0,2,0.000473687,,,,2.0,,0.0,0.0
-3.0,1.0,,,,Brett Makar,0.0,0.869337,0.429681,0.5,3.00777,,7.0,0.0135135,,0.36457,0.189938,0,0.0247132,2.0,5.0,,,0.209134,3,1.0,1.0,0.3967,0.104567,,1532,5.0,D,,2.42113,0,0.0306475,0.790866,,0.5,4.0,,13.0,2.0
,,,,,BJ Burlace,,,,,,,,,,,,,,,,,,,3,,,,,,16166,,D,,,,,,,,2.0,,,
4.0,5.0,,,,Daniel Kelly,0.0,7.97438,1.40766,0.571429,4.22297,,3.0,0.0,,0.0,0.0,0,0.00882613,0.0,0.0,,,0.473483,3,0.0,4.0,3.65316,0.0676405,,16167,0.0,A,,0.569814,0,0.0105158,3.52652,,0.714286,2.0,,3.0,7.0
0.0,1.0,,,,Nick Redd,0.0,4.61978,0.570847,0.0,1.14169,,2.0,0.0,,0.0,0.189938,0,0.00617829,0.0,1.0,,,-0.557853,3,0.0,0.0,0.0266566,-0.557853,,16168,0.0,D,,0.9251,0,0.0078632,0.557853,,1.0,2.0,,5.0,1.0
-1.0,0.0,,,,Dawson Wynne,0.0,-9.36696,-0.165348,,-0.165348,,1.0,0.0,,2.35877,0.0,0,0.000882613,0.0,0.0,,,,3,0.0,0.0,-0.165348,,,2557,1.0,M,,0.0,0,0.000947373,,,,3.0,,0.0,0.0
,,,,,Westin Schmidt,,,,,,,,,,,,,,,,,,,3,,,,,,20716,,G,,,,,,,,1.0,,,
,,,,,King Ripley,,,,,,,,,,,,,,,,,,,3,,,,,,16170,,M,,,,,,,,2.0,,,
0.0,1.0,,,,Jack McDonald,0.0,1.51009,0.0266566,0.0,0.0266566,,1.0,0.0,,0.0,0.0,0,0.000882613,0.0,0.0,,,-0.549686,3,0.0,0.0,0.0266566,-0.549686,,16171,0.0,D,,0.0,0,0.000994742,0.549686,,1.0,2.0,,0.0,1.0
1.0,5.0,0.674556,,,Luke Wierman,169.0,1.15889,4.88923,0.571429,34.2246,,7.0,0.027027,,0.0922476,29.6648,114,0.210944,1.0,2.0,,,0.533283,3,2.0,4.0,4.17731,0.0761833,,16172,5.0,M,,0.382486,55,0.121122,3.46672,,0.714286,2.0,,53.0,7.0
-5.0,1.0,,,,Jake Higgins,0.0,0.576693,0.264678,0.0,1.85275,,7.0,0.0,,0.395767,1.89938,0,0.0229479,2.0,3.0,,,-0.541186,3,0.0,0.0,-0.807502,-0.541186,,1526,5.0,M,,0.760869,0,0.0282317,0.541186,,1.0,5.0,,15.0,1.0
20.0,26.0,,,,Jonathan Donville,0.0,2.87462,2.43569,0.514286,17.0498,,7.0,0.0675676,,0.127501,0.0,0,0.0423654,2.0,0.0,,,0.895145,3,5.0,18.0,17.1362,0.0255756,,570,3.0,M,,-0.0863578,0,0.0525792,17.1049,,0.742857,5.0,,3.0,35.0
12.0,18.0,,,,Keegan Khan,0.0,2.2701,2.24406,0.36,15.7084,,7.0,0.148649,,0.264844,0.189938,0,0.0494263,0.0,0.0,,,-3.05492,3,11.0,9.0,13.4291,-0.122197,,593,8.0,A,,2.08932,0,0.0675004,12.0549,,0.72,5.0,,12.0,25.0
1.0,1.0,0.565217,,,Gavin Tygh,46.0,1.27509,1.373,1.0,8.23798,,6.0,0.0,,0.0,7.21551,26,0.0538394,0.0,0.0,,,0.439607,3,0.0,1.0,1.02248,0.439607,,1788,0.0,M,,0.0,20,0.0284686,0.560393,,1.0,3.0,,14.0,1.0
3.0,19.0,,,,Owen Murphy,0.0,2.12901,1.50327,0.521739,10.5229,,7.0,0.027027,,0.587689,0.0,0,0.0353045,0.0,0.0,,,0.335264,3,2.0,12.0,9.76317,0.0145767,,383,11.0,A,,0.759752,0,0.0418265,11.6647,,0.826087,2.0,,4.0,23.0
-2.0,1.0,,,,Owen PRYBYLSKI,0.0,1.20402,0.340058,0.0,2.04035,,6.0,0.0,,0.26136,0.569814,0,0.0141218,0.0,5.0,,,-0.560393,3,0.0,0.0,-0.305894,-0.560393,,597,2.0,D,,1.77643,0,0.0171001,0.560393,,1.0,5.0,,8.0,1.0
,,,,,Zander Stapleton,,,,,,,,,,,,,,,,,,,5,,,,,,16194,,M,,,,,,,,2.0,,,
0.0,0.0,,,,JP Jackson,0.0,-17.1254,-0.356779,,-0.356779,,1.0,0.0,,0.0,0.0,0,0.00104167,1.0,0.0,,,,5,0.0,0.0,0.0,,,16206,0.0,A,,-0.356779,0,0.00112962,,,,2.0,,0.0,0.0
2.0,7.0,,,,Thomas Niedringhaus,0.0,1.45338,0.575295,0.133333,3.45177,,6.0,0.02,,0.0813602,0.0,0,0.0197917,0.0,1.0,,,-4.11383,5,1.0,2.0,3.09648,-0.274255,,1838,1.0,A,,0.355286,0,0.0237221,6.11383,,0.466667,3.0,,1.0,15.0
0.0,4.0,,,,Jett Dziama,0.0,1.17352,0.854799,0.285714,5.12879,,6.0,0.0,,0.0751617,2.65913,0,0.0364204,4.0,3.0,,,-0.964118,5,0.0,2.0,2.33641,-0.137731,,2482,2.0,M,,0.133251,0,0.0452443,2.96412,,0.571429,4.0,,19.0,7.0
-1.0,1.0,,,,Anthony Forziati,0.0,11.0388,0.689927,1.0,0.689927,,1.0,0.0,,1.12037,0.0,0,0.003125,0.0,0.0,,,0.568358,5,0.0,1.0,0.689927,0.568358,,16195,2.0,A,,0.0,0,0.00344535,0.431642,,1.0,2.0,,0.0,1.0
,,,,,Jack Collins,,,,,,,,,,,,,,,,,,,5,,,,,,2140,,A,,,,,,,,8.0,,,
,,,,,John Gross,,,,,,,,,,,,,,,,,,,5,,,,,,20717,,M,,,,,,,,1.0,,,
,,,,,Miles Lipton,,,,,,,,,,,,,,,,,,,5,,,,,,16196,,M,,,,,,,,2.0,,,
11.0,16.0,,,,Louis Perfetto,0.0,1.98536,2.56175,0.375,15.3705,,6.0,0.24,,0.193328,0.189938,0,0.0645161,0.0,5.0,,,-1.3771,5,12.0,9.0,12.4545,-0.0573792,,1839,10.0,A,,2.72612,0,0.0879499,10.3771,,0.666667,3.0,,11.0,24.0
,,,,,Tommy Jepson,,,,,,,,,,,,,,,,,,,5,,,,,,16197,,A,,,,,,,,2.0,,,
0.0,0.0,,,,Colby Kim,0.0,7.9367,0.165348,,0.165348,,1.0,0.0,,0.0,0.0,0,0.00104167,0.0,1.0,,,,5,0.0,0.0,0.0,,,20718,0.0,D,,0.165348,0,0.00112962,,,,1.0,,0.0,0.0
