status,league,pregame_home_wp,away_ID,traversals_70_30,tension_game_score,home_ID,elo_transfer,home_score,game_date,away_score,ID
completedFromNCAA,NCAA D1 Men,0.455472,27,2,77.0,35,6.937,17,2022-03-05,16,10126
scheduled,NCAA D1 Men,0.438663,52,,,27,,,2022-03-13,,10127
scheduled,NCAA D1 Men,0.365307,27,,,29,,,2022-03-19,,10128
scheduled,NCAA D1 Men,0.817318,39,,,27,,,2022-03-26,,10129
scheduled,NCAA D1 Men,0.350057,27,,,22,,,2022-04-09,,10130
scheduled,NCAA D1 Men,0.963859,4,,,27,,,2022-04-16,,10131
scheduled,NCAA D1 Men,0.128585,27,,,9,,,2022-04-23,,10132
scheduled,NCAA D1 Men,0.859777,16,,,27,,,2022-04-29,,10133
completedFromNCAA,NCAA D1 Men,0.713299,60,0,133.0,29,9.677,18,2022-02-05,7,10134
completedFromNCAA,NCAA D1 Men,0.595416,60,0,180.0,31,17.848,21,2022-02-12,5,10135
completedFromNCAA,NCAA D1 Men,0.869038,60,1,174.0,1,4.515,24,2022-02-19,2,10136
completedFromNCAA,NCAA D1 Men,0.564904,60,0,137.0,16,13.654,13,2022-03-05,7,10137
scheduled,NCAA D1 Men,0.768551,60,,,45,,,2022-03-26,,10138
scheduled,NCAA D1 Men,0.258545,36,,,60,,,2022-04-02,,10139
scheduled,NCAA D1 Men,0.490177,67,,,60,,,2022-04-23,,10140
scheduled,NCAA D1 Men,0.611557,60,,,84,,,2022-04-30,,10141
completedFromNCAA,NCAA D1 Men,0.393772,23,0,107.0,58,19.431,12,2022-02-19,8,10143
completedFromNCAA,NCAA D1 Men,0.0505301,23,0,79.0,25,66.029,13,2022-02-22,11,10144
completedFromNCAA,NCAA D1 Men,0.354193,23,2,65.0,87,19.256,8,2022-03-05,10,10145
scheduled,NCAA D1 Men,0.451826,24,,,23,,,2022-03-08,,10146
scheduled,NCAA D1 Men,0.281116,23,,,16,,,2022-03-12,,10147
scheduled,NCAA D1 Men,0.563583,23,,,22,,,2022-03-19,,10148
scheduled,NCAA D1 Men,0.424659,23,,,36,,,2022-03-26,,10149
scheduled,NCAA D1 Men,0.651077,39,,,23,,,2022-04-02,,10150
scheduled,NCAA D1 Men,0.844597,44,,,23,,,2022-04-09,,10151
scheduled,NCAA D1 Men,0.307157,23,,,7,,,2022-04-16,,10152
scheduled,NCAA D1 Men,0.481972,23,,,66,,,2022-04-29,,10153
completedFromNCAA,NCAA D1 Men,0.337183,71,0,185.0,69,36.722,17,2022-02-19,5,10154
completedFromNCAA,NCAA D1 Men,0.941436,19,0,143.0,71,132.37,6,2022-02-21,15,10155
completedFromNCAA,NCAA D1 Men,0.587706,71,0,143.0,85,20.02,21,2022-03-05,0,10156
scheduled,NCAA D1 Men,0.358391,67,,,71,,,2022-03-19,,10157
scheduled,NCAA D1 Men,0.10661,2,,,71,,,2022-03-26,,10158
scheduled,NCAA D1 Men,0.499839,71,,,56,,,2022-04-09,,10159
scheduled,NCAA D1 Men,0.148906,45,,,71,,,2022-04-15,,10160
scheduled,NCAA D1 Men,0.118634,68,,,71,,,2022-04-17,,10161
scheduled,NCAA D1 Men,0.302075,71,,,19,,,2022-04-23,,10162
completedFromNCAA,NCAA D1 Men,0.764877,17,1,164.0,40,6.904,22,2022-02-12,13,10163
completedFromNCAA,NCAA D1 Men,0.37397,46,0,66.0,40,8.882,14,2022-02-19,13,10164
pending,NCAA D1 Men,0.279877,40,,,54,,,2022-02-25,,10165
completedFromNCAA,NCAA D1 Men,0.822963,40,1,113.0,62,2.896,15,2022-03-01,12,10166
live,NCAA D1 Men,0.524167,40,,,42,,,2022-03-06,,10167
scheduled,NCAA D1 Men,0.140621,40,,,10,,,2022-03-19,,10168
scheduled,NCAA D1 Men,0.594232,40,,,24,,,2022-04-02,,10169
scheduled,NCAA D1 Men,0.944619,59,,,40,,,2022-04-09,,10170
scheduled,NCAA D1 Men,0.388698,40,,,86,,,2022-04-16,,10171
scheduled,NCAA D1 Men,0.653433,87,,,40,,,2022-04-23,,10172
scheduled,NCAA D1 Men,0.721498,69,,,40,,,2022-04-30,,10173
completedFromNCAA,NCAA D1 Men,0.591447,86,0,58.0,7,4.534,8,2022-02-06,7,10174
completedFromNCAA,NCAA D1 Men,0.816134,10,1,170.0,7,5.619,21,2022-02-12,9,10175
completedFromNCAA,NCAA D1 Men,0.490655,21,0,141.0,7,41.227,6,2022-02-18,13,10176
completedFromNCAA,NCAA D1 Men,0.54349,87,1,65.0,7,28.91,11,2022-02-25,14,10177
completedFromNCAA,NCAA D1 Men,0.735948,7,1,84.0,22,3.834,8,2022-03-05,6,10178
scheduled,NCAA D1 Men,0.69755,47,,,7,,,2022-03-12,,10179
scheduled,NCAA D1 Men,0.133016,6,,,7,,,2022-03-19,,10180
scheduled,NCAA D1 Men,0.443843,7,,,9,,,2022-03-26,,10181
scheduled,NCAA D1 Men,0.293303,7,,,44,,,2022-04-02,,10182
scheduled,NCAA D1 Men,0.32272,66,,,7,,,2022-04-23,,10183
scheduled,NCAA D1 Men,0.547275,7,,,39,,,2022-04-30,,10184
completedFromNCAA,NCAA D1 Men,0.645798,68,0,102.0,28,7.216,11,2022-02-05,8,10185
completedFromNCAA,NCAA D1 Men,0.873283,68,0,119.0,37,40.186,12,2022-02-13,14,10186
completedFromNCAA,NCAA D1 Men,0.791194,68,1,150.0,56,35.079,12,2022-02-15,21,10187
completedFromNCAA,NCAA D1 Men,0.608923,16,0,89.0,68,9.65,14,2022-02-19,10,10188
scheduled,NCAA D1 Men,0.732728,84,,,68,,,2022-03-06,,10189
scheduled,NCAA D1 Men,0.0692425,68,,,57,,,2022-03-19,,10190
scheduled,NCAA D1 Men,0.92513,4,,,68,,,2022-03-26,,10191
